consecutive_number,latitude,longitude
240002,39.20197778,-76.61356944
160197,43.57403889,-116.77622778
160219,43.68465556,-116.41371944
160207,43.730225,-116.64256667
320145,38.72437778,-119.56778611
220472,31.60803889,-93.69921944
160147,42.36317222,-114.59446111
160209,42.47665278,-114.51097222
260661,43.05090833,-83.11593611
160212,42.60181944,-114.51595833
160127,43.57416667,-116.79759167
160109,42.46027778,-113.92361111
160206,46.51476944,-116.33970278
260472,44.92500278,-85.3234
470291,35.70908056,-83.61183056
260045,46.01516667,-86.48660556
320035,41.16876389,-115.04046944
120404,30.37694444,-81.82611111
370166,35.41335556,-80.59452778
120817,30.54451111,-87.26638889
121852,27.74574444,-82.75864444
120410,27.60130556,-80.40592778
390873,41.16736944,-82.23123333
390641,41.62780278,-81.47553333
121172,30.37478056,-81.83311944
540025,38.36201111,-81.61903056
90124,41.38978333,-72.73415278
122019,27.812025,-80.47976389
120180,28.58128889,-81.46778889
90292,41.19300278,-73.43106389
121787,26.27367222,-80.25065556
482704,33.66403056,-95.50639722
220315,30.50165,-91.11246111
110002,38.91830278,-77.06986944
220405,29.88461111,-90.12444167
260165,42.46236389,-82.87680556
481350,30.47324444,-97.80407778
370152,35.36330278,-77.94030833
122207,27.85438889,-82.34151667
120005,30.32638889,-83.14833333
90004,42.00521389,-72.12879167
340213,40.81531667,-74.08019167
123090,26.23478333,-80.27063056
120008,27.32565,-80.34935278
120010,26.64495556,-80.248075
120588,27.93688333,-81.43264444
230109,45.65489444,-68.75255833
90057,41.50330833,-72.81241667
20006,61.20760833,-149.74176667
123093,25.66276111,-80.40255556
230110,43.47938056,-70.48685
180289,41.45562778,-85.27311389
470678,36.04713056,-86.7178
150073,21.39552222,-157.96918889
370065,34.98895278,-78.35244444
340223,40.56031389,-74.30647222
340212,40.54740833,-74.39184444
121660,25.94217778,-80.14603889
340509,41.16297778,-74.38793333
120534,25.77209444,-80.37367778
240127,39.31228889,-76.58777778
120558,28.02915556,-82.64031667
470106,36.30203889,-86.70123889
370165,35.55855833,-82.64048056
170733,41.85839444,-87.727175
550144,42.96791111,-88.00908611
200130,38.93515278,-94.759325
200035,39.17915556,-96.57203056
122610,27.33545,-82.43081111
470119,36.30978889,-83.79335
121723,27.9347,-81.43553056
320147,39.32627222,-119.64274722
300093,46.79648333,-113.83827778
120426,26.65309722,-80.74046667
160087,43.89498889,-113.64414444
550524,45.44101389,-89.98632778
530388,46.47725278,-122.11241944
123088,25.79034444,-80.23338889
220529,30.3907,-92.14896667
170875,41.90908333,-87.81487222
370233,35.60856389,-77.40491667
120934,30.45526389,-84.48296111
390062,41.396125,-82.04212222
390078,41.03430556,-81.86694444
350242,35.07672222,-106.56939444
391049,39.30224722,-84.70174167
510270,36.94282778,-82.11195278
390706,40.08995,-82.94445833
240264,39.30328056,-76.58807778
390904,41.51793333,-81.59129444
350204,35.13781944,-106.62431389
510290,36.64793333,-76.14938056
550448,45.87499167,-89.26853056
350144,35.01878611,-106.6787
350292,36.702975,-108.23709167
240485,39.29341944,-76.63193056
160142,43.53255833,-116.47986944
260254,42.67193056,-82.9406
210192,37.06125278,-84.65696111
121443,24.567175,-81.73943889
121294,27.91293056,-82.29524167
260980,42.494075,-83.69359722
400125,36.41972222,-99.34529167
550536,43.93178889,-90.69989444
390835,41.53077778,-81.57329167
391000,41.38723333,-81.79285278
550340,42.71565833,-87.95432222
121631,26.10293333,-80.17333056
90072,41.68195278,-72.65720278
550142,43.32883056,-89.53633333
240075,39.37277778,-76.56416667
90120,41.48355,-72.08072778
240079,39.43034444,-76.33769167
390142,39.35535278,-84.578425
371008,35.458125,-78.38885
420937,40.06555,-75.61131111
230077,43.87751944,-70.33246111
420694,40.12301667,-77.76559722
481661,30.83755556,-97.59807778
290058,38.94341667,-91.88191667
480864,26.43642778,-97.78539167
480775,31.1934,-105.52988889
50386,34.436875,-92.19575833
50322,35.62009444,-90.49646944
