f0_,county
1,437
1,630
1,840
1,357
1,680
1,377
1,443
1,445
1,820
1,130
1,417
1,790
1,68
1,415
1,100
1,110
1,50
1,393
1,411
1,232
2,505
2,333
2,461
2,425
2,369
2,463
2,280
2,540
2,429
2,495
2,186
2,620
3,335
3,283
3,435
3,483
3,359
3,315
3,385
3,501
3,337
3,465
3,427
3,403
3,269
3,391
3,290
3,16
4,660
4,457
4,307
4,399
4,590
4,600
4,379
4,503
4,449
4,387
4,14
4,240
4,405
4,36
516,33
5,349
5,570
5,271
5,331
5,351
261,107
6,343
6,730
6,249
6,481
6,507
6,259
6,319
6,341
7,473
7,317
7,279
7,281
7,451
7,800
7,395
7,493
7,305
7,499
7,487
7,419
8,740
8,363
8,650
8,301
8,409
8,293
8,90
9,475
9,770
9,371
9,253
9,455
9,295
10,353
10,241
10,323
10,311
11,489
11,239
11,275
11,122
267,157
12,397
12,265
12,373
12,321
13,287
13,459
13,273
13,365
13,347
13,469
13,261
13,477
14,325
14,381
14,267
14,235
14,389
14,407
15,485
16,760
16,255
16,247
17,441
17,700
17,6
17,237
18,12
18,467
18,710
19,289
19,205
19,550
19,810
19,401
19,497
20,285
20,299
20,170
21,367
21,233
21,20
22,277
22,361
22,297
23,229
23,313
24,211
24,203
25,471
25,329
25,221
27,251
28,219
29,375
29,291
30,257
542,67
31,309
34,225
35,227
36,207
36,175
36,213
36,223
292,69
294,86
294,127
39,231
295,91
41,217
41,193
299,125
45,491
45,355
301,43
47,479
303,93
49,303
305,23
561,73
54,245
54,191
57,423
58,185
314,109
570,99
59,171
60,195
828,1
62,199
66,181
73,187
330,41
331,105
76,339
335,83
80,169
593,11
82,209
83,197
85,159
342,119
93,137
349,121
352,79
97,177
98,179
354,39
356,55
612,113
358,63
104,165
107,161
108,173
109,215
625,59
116,131
117,149
374,111
120,453
376,163
121,147
127,510
127,189
128,151
900,3
133,167
391,61
137,155
138,129
395,101
141,145
407,53
921,31
157,139
413,7
416,27
416,85
421,49
167,439
426,45
173,183
173,133
177,135
180,153
436,47
437,77
1207,37
699,19
701,5
191,123
447,103
449,25
195,141
455,89
201,143
457,81
457,51
714,71
461,15
974,13
213,117
469,57
473,35
732,29
487,97
237,87
495,17
495,21
497,65
498,201
247,75
504,9
505,95
253,115
