county_code,county_code_fars,county_name,state,county_population,fatality,fatality_rate_percent
1001,1,Autauga,"Montgomery, al metropolitan statistical area",55246,15,0.027
1003,9,Baldwin,"Daphne-fairhope-foley, al metropolitan statistical area",195540,37,0.019
1005,1,Barbour,Alabama,27076,5,0.018
1007,21,Bibb,"Birmingham-hoover, al metropolitan statistical area",22512,8,0.036
1009,9,Blount,"Birmingham-hoover, al metropolitan statistical area",57872,17,0.029
1011,11,Bullock,Alabama,10639,4,0.038
1013,19,Butler,Alabama,20265,14,0.069
1015,13,Calhoun,"Anniston-oxford-jacksonville, al metropolitan statistical area",116736,26,0.022
1017,71,Chambers,"Valley, al micropolitan statistical area",34162,13,0.038
1019,73,Cherokee,Alabama,26203,14,0.053
1021,21,Chilton,"Birmingham-hoover, al metropolitan statistical area",43951,21,0.048
1023,23,Choctaw,Alabama,13426,6,0.045
1025,43,Clarke,Alabama,25207,6,0.024
1027,15,Clay,Alabama,13486,4,0.03
1029,23,Cleburne,Alabama,14994,6,0.04
1031,31,Coffee,"Enterprise, al micropolitan statistical area",50938,15,0.029
1033,33,Colbert,"Florence-muscle shoals, al metropolitan statistical area",54520,18,0.033
1035,35,Conecuh,Alabama,12887,8,0.062
1037,37,Coosa,"Talladega-sylacauga, al micropolitan statistical area",10898,9,0.083
1039,31,Covington,Alabama,37886,8,0.021
1041,41,Crenshaw,Alabama,13986,3,0.021
1043,43,Cullman,"Cullman, al micropolitan statistical area",80811,25,0.031
1045,45,Dale,"Ozark, al micropolitan statistical area",49884,15,0.03
1047,113,Dallas,"Selma, al micropolitan statistical area",41996,11,0.026
1049,41,Dekalb,Alabama,71013,19,0.027
1051,39,Elmore,"Montgomery, al metropolitan statistical area",80902,20,0.025
1053,33,Escambia,Alabama,37983,8,0.021
1055,55,Etowah,"Gadsden, al metropolitan statistical area",103931,31,0.03
1057,19,Fayette,Alabama,16909,2,0.012
1059,21,Franklin,Alabama,31532,3,0.01
1061,61,Geneva,"Dothan, al metropolitan statistical area",26727,2,0.007
1063,79,Greene,Alabama,8744,5,0.057
1065,189,Hale,"Tuscaloosa, al metropolitan statistical area",15406,5,0.032
1067,89,Henry,"Dothan, al metropolitan statistical area",17296,8,0.046
1069,225,Houston,"Dothan, al metropolitan statistical area",103668,23,0.022
1071,53,Jackson,"Scottsboro, al micropolitan statistical area",52951,17,0.032
1073,55,Jefferson,"Birmingham-hoover, al metropolitan statistical area",659479,90,0.014
1075,277,Lamar,Alabama,14236,2,0.014
1077,97,Lauderdale,"Florence-muscle shoals, al metropolitan statistical area",92797,13,0.014
1079,99,Lawrence,"Decatur, al metropolitan statistical area",33587,10,0.03
1081,105,Lee,"Auburn-opelika, al metropolitan statistical area",150933,18,0.012
1083,293,Limestone,"Huntsville, al metropolitan statistical area",88845,28,0.032
1085,87,Lowndes,"Montgomery, al metropolitan statistical area",10703,4,0.037
1087,111,Macon,Alabama,19688,13,0.066
1089,113,Madison,"Huntsville, al metropolitan statistical area",346892,46,0.013
1091,91,Marengo,Alabama,20155,8,0.04
1093,49,Marion,Alabama,30334,5,0.016
1095,51,Marshall,"Albertville, al micropolitan statistical area",94760,22,0.023
1097,97,Mobile,"Mobile, al metropolitan statistical area",414079,77,0.019
1099,81,Monroe,Alabama,22236,7,0.031
1101,121,Montgomery,"Montgomery, al metropolitan statistical area",226659,39,0.017
1103,65,Morgan,"Decatur, al metropolitan statistical area",119787,13,0.011
1105,135,Perry,Alabama,10020,4,0.04
1107,77,Pickens,"Tuscaloosa, al metropolitan statistical area",19401,6,0.031
1109,103,Pike,"Troy, al micropolitan statistical area",33339,6,0.018
1111,83,Randolph,Alabama,22727,5,0.022
1113,167,Russell,"Columbus, ga-al metropolitan statistical area",59585,29,0.049
1115,185,St. clair,"Birmingham-hoover, al metropolitan statistical area",86308,20,0.023
1117,419,Shelby,"Birmingham-hoover, al metropolitan statistical area",204180,26,0.013
1119,85,Sumter,Alabama,13361,4,0.03
1121,121,Talladega,"Talladega-sylacauga, al micropolitan statistical area",81096,30,0.037
1123,123,Tallapoosa,Alabama,41203,15,0.036
1125,125,Tuscaloosa,"Tuscaloosa, al metropolitan statistical area",200821,50,0.025
1127,471,Walker,"Birmingham-hoover, al metropolitan statistical area",65998,23,0.035
1129,131,Washington,Alabama,16877,4,0.024
1131,315,Wilcox,Alabama,11307,3,0.027
1133,159,Winston,Alabama,24146,11,0.046
2013,,Alaska,,3092,-1,-0.032
2016,,Alaska,,5511,3,0.054
2020,,Alaska,"Anchorage, ak metropolitan statistical area",300950,21,0.007
2050,,Alaska,,17758,1,0.006
2060,,Alaska,,960,-1,-0.104
2068,,Alaska,,1867,-1,-0.054
2070,,Alaska,,5010,-1,-0.02
2090,,Alaska,"Fairbanks, ak metropolitan statistical area",100436,8,0.008
2100,,Alaska,,2592,1,0.039
2105,,Alaska,,2145,1,0.047
2110,,Alaska,"Juneau, ak micropolitan statistical area",32660,1,0.003
2122,,Alaska,,57147,11,0.019
2130,,Alaska,"Ketchikan, ak micropolitan statistical area",13729,1,0.007
2150,,Alaska,,14135,-1,-0.007
2164,,Alaska,,1648,-1,-0.061
